,season,batting_team,percentage_from_6s,percentage_from_4s,percentage_from_extra,runs_from_rest
0,2008,Royal Challengers Bangalore,18.0,38.0,6.0,38.0
1,2009,Royal Challengers Bangalore,18.0,34.0,5.0,43.0
2,2010,Royal Challengers Bangalore,19.0,36.0,5.0,40.0
3,2011,Royal Challengers Bangalore,23.0,36.0,6.0,35.0
4,2012,Royal Challengers Bangalore,29.0,30.0,5.0,36.0
5,2013,Royal Challengers Bangalore,25.0,35.0,5.0,35.0
6,2014,Royal Challengers Bangalore,26.0,32.0,5.0,37.0
7,2015,Royal Challengers Bangalore,27.0,36.0,5.0,32.0
8,2016,Royal Challengers Bangalore,29.0,32.0,4.0,35.0
