,season,batting_team,percentage_above_170_and_won
0,2008,Chennai Super Kings,83
1,2009,Chennai Super Kings,60
2,2010,Chennai Super Kings,75
3,2011,Chennai Super Kings,83
4,2012,Chennai Super Kings,67
5,2013,Chennai Super Kings,100
6,2014,Chennai Super Kings,43
7,2015,Chennai Super Kings,100
